title,pos_score_OL,neg_score_OL,pos_score_MPQA,neg_score_MPQA,pos_score_LIWC,neg_score_LIWC,pos_score_ANEW,neg_score_ANEW,length,date,country,continent
Battle of Nezib,1.5152,3.0303,7.5758,3.0303,7.5758,3.0303,1.4621,0.0,66,1839-06-24,Turkey,Asia
First Balkan War,4.2285,4.1257,7.4879,5.5939,3.6265,2.5547,1.0126,0.2704,6811,1912-10-08,,
"Bolivian general election, 2005",5.2811,3.4072,8.0068,4.0886,7.4957,2.0443,2.3032,0.3714,587,2005-12-18,,
Portuguese Colonial War,4.157,4.5901,7.3903,6.582000000000002,3.7962,3.7096,1.8583,1.208,6928,1961-02-04,,
Caesar's Civil War,3.4749,4.6332,5.4054,7.3359,1.5444,3.861,0.778,0.6699,259,1949-01-10,,
"South Australian state election, 2006",3.1847,2.5478,7.0064,1.9108,3.8217,1.9108,0.0478,0.2596,157,2006-03-18,,
Left SR uprising,2.3438,9.2187,6.25,9.5312,2.3438,1.7187,0.6457,0.5309,640,1918-07-07,,
Battle of West Henan–North Hubei,1.6667,3.3333,8.3333,3.3333,8.3333,3.3333,1.6083,0.0,60,1945-05-11,,
Battle of South Henan,9.0909,0.0,9.0909,0.0,0.0,0.0,0.0,0.0,11,1941-03-01,China,Asia
Battle of South Guangxi,1.3986,1.3986,8.3916,4.8951,5.5944,2.0979,0.0385,0.6573,143,1939-11-15,China,Asia
Battle of Nanchang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1939-05-09,China,Asia
Cisplatine War,4.9054,5.3668,7.2428,9.2265,3.7214,5.6589,1.843,2.5324,6503,1825-12-10,,
Defense of Sihang Warehouse,4.329,2.8139,5.8442,4.0043,3.0303,1.6234,1.2416,0.1402,924,1937-11-01,China,Asia
January 28 Incident,0.0,3.3898,0.0,3.3898,0.0,1.6949,0.6102,0.0,59,1932-03-03,,
Operation Cobra,4.6275,4.3646,7.6775,6.1174,4.1718,3.0762,1.3330000000000002,0.4654,11410,1944-07-31,France,Europe
Silesian Uprisings,4.5342,5.3671,7.9272,6.7242,4.5342,3.2079,1.4169,0.6264,3242,1921-07-21,,
Second Battle of Fredericksburg,5.9701,2.9851,5.9701,5.9701,1.4925,2.9851,0.0,0.0,67,1863-05-03,United States,North America
Siege of Acre (1291),4.4843,1.7937,4.4843,3.139,3.139,0.8969,1.2444,0.0202,223,1291-05-18,Israel,Asia
1986 United States bombing of Libya,3.5448,3.8639,6.2035,4.3956,3.4385,2.0915,1.6465,0.5191,2821,1986-04-15,,
Battle of Gainsborough,4.1667,0.0,12.5,0.0,4.1667,0.0,0.0,0.0,24,1643-07-28,United Kingdom,Europe
Laotian Civil War,2.3997,3.712,4.4994,6.9366,3.3371,4.7619,1.1301,2.216,2667,1953-11-09,,
WrestleMania 2000,4.5588,2.0588,7.0588,2.3529,4.5588,1.0294,0.6699,0.0471,680,2000-04-02,,
Operation Crusader,4.2,4.68,6.04,5.52,3.08,4.28,1.7446,0.731,2500,1941-12-30,Libya,Africa
Operation Basalt,5.6872,7.109,8.0569,7.109,3.7915,3.3175,1.4799,0.9787,211,1942-10-04,,
Battle of Orewin Bridge,4.7312,5.1613,6.6667,6.6667,3.0108,3.6559,1.9043,0.7425,465,1282-12-11,United Kingdom,Europe
Battle of Gavinana,1.7241,3.4483,8.6207,3.4483,8.6207,6.8966,2.7069,0.0,58,1530-08-03,,
Transnistria War,1.3216,3.0837,3.5242,3.9648,3.0837,1.7621,0.3304,0.0,227,1992-07-21,,
Battle of Hill 70,4.6005,1.4528,8.4746,1.2107,5.0847,0.4843,2.7391,0.1435,413,1917-08-25,France,Europe
"United States Senate elections, 1932",16.6667,0.0,25.0,0.0,16.6667,0.0,5.6875,0.0,24,1932-11-08,,
"Canadian federal election, 1874",7.7612,2.9851,10.4478,4.1791,7.1642,1.194,2.5067,0.3366,335,1874-01-22,,
Big Sandy Expedition,0.0,7.1429,3.5714,10.7143,0.0,0.0,0.0,0.0,28,1861-11-09,United States,North America
Battle of Clontibret,0.0,2.2727,2.2727,2.2727,2.2727,2.2727,1.0682,0.0,44,1595-03-27,,
2005 Toronto International Film Festival,2.0619,0.0,7.2165,3.0928,3.0928,0.0,2.3505,0.0,97,2005-09-08,,
Moncada Barracks,4.5,7.0,8.5,6.5,4.5,4.0,1.2275,0.0,200,1953-07-26,Cuba,North America
"Liberal Democrats leadership election, 2006",3.1104,1.6071,7.1021,2.9549,3.9399,0.985,0.9504,0.2309,1929,2006-01-25,,
"Texas gubernatorial election, 2006",4.5595,4.5595,7.9877,6.1022,7.1306,1.5084,2.5675,0.233,2917,2006-11-07,,
Battle of the Thousand Islands,3.4783,1.7391,8.6957,4.3478,7.8261,1.7391,1.9739,0.0,115,1760-08-24,Canada,North America
Valley Forge,4.2403,5.6537,5.477,7.0671,2.8269,2.8269,1.1113,0.7496,566,1778-06-18,United States,North America
Hussite Wars,2.5974,2.5974,6.4935,2.5974,3.4632,0.8658,1.329,0.2424,231,1419-07-30,,
Siege of Fort Detroit,1.6129,3.2258,4.8387,3.2258,4.8387,1.6129,2.7258,0.0,62,1763-05-09,,
Battle of Antrim,0.0,0.0,0.0,7.1429,0.0,0.0,0.0,0.0,14,1798-06-07,United Kingdom,Europe
Warsaw Uprising (1794),5.2647,5.3804,9.083,6.4507,4.9176,2.6613,1.987,0.6645,3457,1794-04-19,Poland,Europe
Battle of Rottofreddo,2.9851,1.4925,4.4776,5.9701,0.0,4.4776,1.9067,0.6455,67,1746-08-12,,
Battle of Jüterbog,4.878,6.0976,12.1951,10.9756,9.7561,3.6585,1.253,0.8902,82,1644-11-23,Germany,Europe
"Dunfermline and West Fife by-election, 2006",5.1213,3.504,11.3208,3.504,7.2776,1.0782,2.0633,0.2089,371,2006-02-09,,
"Social and Liberal Democrats leadership election, 1988",2.7027,2.7027,4.0541,4.0541,2.7027,0.0,1.1892,0.0,74,1988-07-28,,
Sacking of Lawrence,4.3478,4.3478,3.2609,7.6087,1.087,3.2609,0.3832,1.2364,92,1856-05-21,United States,North America
First Battle of Mora,0.0,8.3333,0.0,8.3333,0.0,0.0,0.0,0.0,12,1847-01-24,,
1972 European Cup Winners' Cup Final,4.1825,4.1825,9.1255,6.4639,2.6616,2.6616,1.3641,0.8593,263,1972-05-24,,
Vistula–Oder Offensive,5.735,6.1964,8.5695,7.7456,4.5485,3.9552,1.1186,0.6990000000000001,3034,1945-02-02,,
"Botswana general election, 2004",1.4925,4.4776,4.4776,4.4776,4.4776,1.4925,1.4403,0.0,67,2004-10-30,,
Battle of Goose Green,2.8902,3.8811,5.6978,4.872,3.8811,2.4773,1.0588,0.5615,1211,1982-05-29,Falkland Is.,South America
Battle of Two Sisters,2.4096,2.4096,4.8193,2.4096,3.6145,6.0241,1.1145,0.0,83,1982-06-12,Falkland Is.,South America
Battle of Mount Longdon,2.5197,3.1496,5.5118,3.4646,3.4646,2.3622,0.8992,0.5248,635,1982-06-12,Falkland Is.,South America
Battle of Wireless Ridge,3.4188,3.4188,6.8376,5.9829,4.2735,3.4188,0.8248,0.0,117,1982-06-14,Falkland Is.,South America
"Ukrainian parliamentary election, 2006",3.8804,5.4163,7.1948,5.9014,3.3953,2.9103,1.4907,0.728,1237,2006-03-26,,
Battle of the Denmark Strait,3.4872,4.0,7.0513,5.1282,3.2564,2.3333,1.113,0.5837,3900,1941-05-24,,
"California's 50th congressional district special election, 2006",1.8809,1.2539,4.0752,1.2539,2.8213,0.9404,1.4248,0.0,319,2006-06-06,,
Battle of Curlew Pass,2.1053,2.1053,6.3158,2.1053,3.1579,1.0526,1.3342,0.0,95,1599-08-15,,
Cocos Islands mutiny,3.5714,5.0,9.2857,5.7143,6.4286,0.7143,1.2911,0.0,140,1942-05-08,,
Siege of Budapest,5.1468,6.4335,8.5645,7.0768,4.1817,4.1013,2.567,1.2031,2487,1944-12-29,,
"Toronto municipal election, 2006",4.1742,2.5408,9.2559,3.9927,5.4446,2.1779,2.3035,0.4923,551,2006-11-13,,
Battle of the Komandorski Islands,2.2727,1.8182,5.0,3.6364,1.8182,2.2727,1.7682,0.1216,220,1943-03-27,,
Battle of the North Cape,3.6066,2.623,6.7213,3.6066,3.4426,5.9016,0.9582,0.2168,610,1943-12-26,,
Battle of Kwajalein,2.439,3.4146,6.8293,5.8537,5.3659,0.9756,1.4122,0.2378,205,1944-02-03,,
Battle of Ezra Church,0.0,0.0,0.0,7.6923,0.0,0.0,0.3846,0.0,13,1864-07-28,United States,North America
Operation Hailstone,3.0651,3.4483,5.364,4.2146,3.4483,0.3831,1.681,0.1887,261,1944-02-17,,
Third Battle of Petersburg,1.7241,3.1034,4.8276,3.7931,2.4138,1.0345,1.0534,0.4259,290,1865-04-02,United States,North America
Second Battle of Sabine Pass,1.5363,2.6536,3.0726,5.3073,1.8156,2.6536,0.5754,0.5133,716,1863-09-08,United States,North America
"Palestinian legislative election, 2006",2.3725,2.7284,4.1518,3.3215,2.7284,0.4745,1.0498,0.0199,843,2006-01-25,,
Battle of Ramree Island,4.5849,7.311,7.4349,8.4263,3.4696,4.5849,1.7562,1.4167,807,1945-02-22,Myanmar,Asia
Battle of Iquique,4.7619,4.7619,7.7381,6.5476,5.0595,3.869,1.3772,0.7894,336,1879-05-21,,
Battle of Jonesborough,1.1905,1.7857,4.7619,2.381,4.7619,1.1905,1.2917,0.0,168,1864-08-31,United States,North America
Battle of Wauhatchie,3.5714,0.0,7.1429,3.5714,7.1429,3.5714,0.0714,0.0,28,1863-10-29,United States,North America
"Prince Edward Island general election, 1935",12.0,4.0,16.0,4.0,8.0,0.0,0.0,0.0,25,1935-07-23,,
Battle of Appomattox Station,0.4255,7.234,1.7021,7.234,1.7021,2.1277,0.0149,1.0862,235,1865-04-08,United States,North America
Royal Rumble (2006),1.992,1.5936,4.3825,1.5936,3.1873,0.7968,0.258,0.3735,251,2006-01-29,,
Battle of Jordanów,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,1939-09-03,Poland,Europe
Battle of Byczyna,2.451,1.9608,9.3137,4.4118,4.902,1.9608,1.0282,0.3946,204,1588-01-24,Poland,Europe
Battle of Kliszów,6.6667,0.0,6.6667,3.3333,3.3333,0.0,0.4583,0.0,30,1702-07-19,Poland,Europe
Battle of Dubienka,11.7647,5.8824,14.7059,5.8824,11.7647,5.8824,0.0294,3.2059,34,1792-07-18,Ukraine,Europe
Battle of Moyry Pass,4.1985,3.0534,7.6336,5.7252,3.0534,3.4351,1.8349,0.4618,262,1600-10-09,United Kingdom,Europe
Battle of Raymond,0.0,6.25,9.375,3.125,3.125,0.0,0.8438,0.0,32,1863-05-12,United States,North America
Battle of Teugen-Hausen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,1809-04-19,Germany,Europe
Battle of the Counts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1287-06-23,Italy,Europe
Battle of Les Formigues,2.8571,0.0,5.7143,1.4286,5.7143,0.0,0.7857,0.0,70,1285-09-04,,
Battle of the Gulf of Naples,7.1429,8.5714,11.4286,10.0,5.7143,5.7143,1.475,0.0,70,1284-06-05,Italy,Europe
Battle of Rhode Island,2.5126,3.5176,7.0352,3.0151,5.5276,2.5126,2.5264,0.0,199,1778-08-29,United States,North America
Battle of Embudo Pass,3.2258,8.6022,8.6022,8.6022,5.3763,5.3763,3.2608,0.3333,93,1847-01-29,,
Battle of Lauffeld,0.0,0.0,18.75,0.0,0.0,0.0,1.875,0.0,16,1747-07-02,Belgium,Europe
Operation Menu,4.1453,6.3956,7.1852,7.3431,2.803,3.5531,1.0221,2.1695,2533,1969-03-18,,
Battle of Aqaba,7.4074,0.0,7.4074,0.0,7.4074,0.0,0.5093,0.0,27,1917-07-06,,
Battle of Bukit Timah,2.0833,2.0833,2.0833,8.3333,2.0833,4.1667,0.0,0.0,48,1942-02-12,,
Operation Junction City,3.3333,2.5,2.5,4.1667,3.3333,3.3333,0.9792,0.4542,120,1967-05-14,,
Battle of Selma,1.5924,6.6879,3.8217,6.6879,3.5032,2.8662,2.5685,0.8615,314,1865-04-02,United States,North America
Battle of Helena,1.7241,3.4483,5.1724,3.4483,5.1724,1.7241,1.6638,0.0,58,1863-07-04,United States,North America
Battle of Cotton Plant,0.8475,1.6949,4.2373,1.6949,4.2373,1.6949,0.8178,0.0,118,1862-07-07,United States,North America
Battle of Marks' Mills,0.885,2.6549,4.4248,1.7699,4.4248,2.6549,0.8540000000000001,0.0,113,1864-04-25,United States,North America
Battle of Prairie Grove,1.7341,2.3121,5.2023,3.4682,4.0462,1.1561,1.2789,0.0,173,1862-12-07,United States,North America
Battle of Olustee,3.3101,4.7038,5.7491,8.0139,3.3101,4.3554,1.1921,0.0427,574,1864-02-20,United States,North America
Battle of Santa Rosa Island,1.6129,3.2258,4.8387,4.8387,4.8387,3.2258,1.75,0.0,62,1861-10-09,United States,North America
Battle of Davis's Cross Roads,1.6129,3.2258,8.0645,3.2258,8.0645,3.2258,1.5565,0.0,62,1863-09-11,United States,North America
Battle of Kennesaw Mountain,5.5556,1.8519,7.4074,1.8519,12.963,0.0,4.4398,0.0,54,1864-06-27,United States,North America
Battle of Peachtree Creek,4.065,0.813,9.7561,2.439,9.7561,0.813,3.1341,0.0102,123,1864-07-20,United States,North America
Battle of Chustenahlah,2.5641,2.5641,6.4103,6.4103,5.7692,4.4872,1.2372,0.0,156,1861-12-26,United States,North America
Battle of Chusto-Talasah,1.6129,3.2258,8.0645,3.2258,8.0645,3.2258,1.5565,0.0,62,1861-12-09,United States,North America
Battle of Middle Creek,1.0989,2.1978,5.4945,2.1978,5.4945,2.1978,1.3626,0.0,91,1862-01-10,United States,North America
Battle of Mansfield,4.5455,1.5152,7.5758,7.5758,3.0303,3.0303,3.4773,0.0,66,1864-04-08,United States,North America
Battle of Milliken's Bend,11.5385,0.0,14.1026,0.0,10.2564,0.0,2.0609,0.0,78,1863-06-07,United States,North America
Capture of New Orleans,3.0952,3.0952,5.7143,4.5238,2.381,1.1905,0.7048,0.1714,420,1862-04-25,United States,North America
Battle of Monocacy,1.1811,1.9685,4.7244,3.1496,3.937,1.9685,0.8661,0.1545,254,1864-07-09,United States,North America
Battle of South Mountain,2.7027,1.6892,5.7432,2.027,4.0541,1.0135,1.4282,0.0,296,1862-09-14,United States,North America
Battle of Champion Hill,4.0323,4.3011,6.1828,4.3011,2.6882,2.1505,1.1922,0.0,372,1863-05-16,United States,North America
Siege of Corinth,3.4722,2.0833,4.8611,1.3889,4.1667,1.3889,2.0521,0.0,144,1862-05-30,United States,North America
Battle of Iuka,1.7778,1.7778,3.5556,1.7778,3.1111,1.3333,1.9833,0.0,225,1862-09-19,United States,North America
"Battle of Jackson, Mississippi",2.6667,2.6667,5.3333,4.0,4.0,1.3333,1.6633,1.0733,75,1863-05-14,United States,North America
Battle of Belmont,0.0,5.0,0.0,5.0,0.0,5.0,0.0,2.2375,20,1861-11-07,United States,North America
Battle of Dry Wood Creek,1.8519,3.7037,9.2593,3.7037,9.2593,3.7037,1.787,0.0,54,1861-09-02,United States,North America
Battle of Fort Davidson,6.0,1.0,8.5,3.0,4.5,2.5,3.8625,0.0,200,1864-09-27,United States,North America
Battle of Island Number Ten,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,25,1862-04-08,United States,North America
First Battle of Lexington,3.4796,2.8744,7.0348,3.9334,4.0847,2.1936,0.9879,0.1942,1322,1861-09-20,United States,North America
Battle of Liberty,10.0,0.0,10.0,0.0,10.0,2.5,1.4688,0.0,40,1861-09-17,United States,North America
Battle of Little Blue River,1.6129,3.2258,8.0645,3.2258,8.0645,3.2258,1.5565,0.0,62,1864-10-21,United States,North America
First Battle of Newtonia,1.3158,2.6316,5.2632,3.9474,3.9474,1.3158,1.4276,0.0,76,1862-09-30,United States,North America
First Battle of Springfield,1.5152,3.0303,4.5455,3.0303,4.5455,1.5152,1.6439,0.0,66,1861-10-25,United States,North America
Siege of Fort Macon,3.9841,1.5936,9.1633,2.3904,5.9761,0.0,1.2102,0.0,251,1862-03-23,,
Battle of Big Mound,1.6129,3.2258,4.8387,3.2258,4.8387,1.6129,1.5565,0.0,62,1863-07-24,United States,North America
Battle of Whitestone Hill,1.8868,3.7736,5.6604,3.7736,5.6604,1.8868,1.8208,0.0,106,1863-09-05,United States,North America
Battle of Blue Springs,1.6129,3.2258,8.0645,3.2258,8.0645,3.2258,1.5565,0.0,62,1863-10-10,United States,North America
Battle of Hoover's Gap,1.9868,2.649,5.9603,4.6358,4.6358,3.9735,0.7979999999999999,0.0,151,1863-06-24,United States,North America
Battle of Bull's Gap,0.0,0.0,2.5641,0.0,0.0,0.0,0.7051,0.0,39,1864-11-13,United States,North America
Battle of Blountville,0.8,1.6,4.8,4.0,4.0,4.0,0.964,0.0,125,1863-09-22,United States,North America
Battle of Dover (1863),1.5152,1.5152,7.5758,3.0303,7.5758,1.5152,1.4621,0.0,66,1863-02-03,United States,North America
Battle of Fair Garden,0.7299,1.4599,3.6496,1.4599,3.6496,2.9197,0.7044,0.0,137,1864-01-27,United States,North America
Battle of Fort Donelson,1.4286,1.9048,3.8095,1.9048,3.8095,2.381,1.3583,0.0,210,1862-02-16,United States,North America
Battle of Fort Henry,2.3762,2.3762,4.7525,3.9604,3.9604,2.1782,1.4243,0.3545,505,1862-02-06,United States,North America
Battle of Fort Sanders,2.439,1.2195,7.3171,3.6585,7.3171,1.2195,1.1768,0.0,82,1863-11-29,United States,North America
Battle of Hartsville,1.6129,3.2258,8.0645,3.2258,8.0645,3.2258,1.5565,0.0,62,1862-12-07,United States,North America
Battle of Hatchie's Bridge,4.386,4.386,7.8947,9.6491,7.0175,6.1404,1.6952,0.8816,114,1862-10-05,,
First Battle of Memphis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1862-06-06,United States,North America
Second Battle of Memphis,2.7523,5.5046,3.6697,4.5872,2.7523,2.7523,1.9358,0.0,109,1864-08-21,United States,North America
Battle of Mossy Creek,1.5152,3.0303,7.5758,4.5455,7.5758,3.0303,1.4621,0.0,66,1863-12-29,United States,North America
"Battle of Jackson, Tennessee",1.6129,3.2258,8.0645,3.2258,8.0645,3.2258,1.75,0.0,62,1862-12-19,United States,North America
Third Battle of Murfreesboro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,1864-12-05,United States,North America
First Battle of Murfreesboro,1.7544,3.5088,5.2632,3.5088,5.2632,1.7544,1.693,0.0,57,1862-07-13,United States,North America
Battle of Parker's Cross Roads,1.6949,3.3898,5.0847,3.3898,5.0847,1.6949,1.6356,0.0,59,1862-12-31,United States,North America
Battle of Spring Hill,1.1765,2.3529,3.5294,2.3529,3.5294,1.1765,1.2059,0.0,85,1864-11-29,United States,North America
Battle of Ball's Bluff,3.6304,4.2904,6.2706,4.9505,3.9604,1.9802,1.0809,0.7459,303,1861-10-21,United States,North America
Battle of Big Bethel,2.7397,5.0228,5.4795,4.5662,1.8265,1.8265,0.6176,0.2043,219,1861-06-10,United States,North America
Battle of Cedar Mountain,2.9126,4.8544,3.3981,5.3398,2.9126,2.4272,1.1347,0.8568,206,1862-08-09,United States,North America
Battle of Chantilly,1.8519,3.7037,5.5556,3.7037,5.5556,1.8519,1.787,0.0,54,1862-09-01,United States,North America
Battle of Cloyd's Mountain,1.2903,4.5161,4.5161,4.5161,3.871,5.1613,1.0113,0.8371,155,1864-05-09,United States,North America
Battle of Cross Keys,1.3158,2.193,3.5088,2.193,3.0702,1.7544,0.3925,0.0,228,1862-06-08,United States,North America
Battle of Dinwiddie Court House,1.6129,1.6129,8.0645,1.6129,8.0645,1.6129,1.5565,0.0,62,1865-03-31,United States,North America
Battle of Front Royal,4.3478,4.3478,4.3478,4.3478,0.0,4.3478,0.0,0.0,23,1862-05-23,United States,North America
Battle of Gaines's Mill,3.5129,1.6393,5.8548,2.1077,2.1077,0.7026,1.0943,0.0,427,1862-06-27,United States,North America
Battle of Glendale,2.7607,2.045,4.8057,3.9877,2.5562,1.636,1.3029,0.058,978,1862-06-30,United States,North America
Battle of Globe Tavern,1.2821,1.2821,6.4103,2.5641,6.4103,1.2821,1.2372,0.0,78,1864-08-18,United States,North America
Battle of Hanover Court House,1.6129,3.2258,6.4516,1.6129,6.4516,3.2258,1.5565,0.0,62,1862-05-27,United States,North America
Battle of Kelly's Ford,8.1395,1.1628,13.9535,3.4884,10.4651,1.1628,2.2878,0.9012,86,1863-03-17,United States,North America
First Battle of Kernstown,1.4493,1.4493,1.4493,1.4493,2.8986,0.0,2.0072,0.0,69,1862-03-23,United States,North America
Battle of Lewis's Farm,0.4464,1.3393,4.4643,3.5714,3.5714,0.8929,0.5915,0.0,224,1865-03-29,United States,North America
Battle of Malvern Hill,1.8987,1.8987,5.0633,1.8987,3.4810000000000003,1.2658,1.0396,0.0,316,1862-07-01,United States,North America
Manassas Station Operations (Stonewall Jackson),6.6667,5.3333,6.6667,6.6667,4.0,2.6667,0.6533,0.6433,75,1862-08-27,United States,North America
Battle of Salem Church,1.4925,5.9701,7.4627,5.9701,7.4627,4.4776,1.6194,0.0,67,1863-05-04,United States,North America
Battle of McDowell,1.0811,1.6216,3.2432,2.7027,2.7027,2.7027,0.5216,0.0,185,1862-05-08,United States,North America
Battle of Mine Run,1.6129,3.2258,4.8387,3.2258,4.8387,1.6129,1.5565,0.0,62,1863-12-02,United States,North America
Battle of Morton's Ford,1.6129,1.6129,8.0645,3.2258,8.0645,1.6129,1.5565,0.0,62,1864-02-07,United States,North America
Battle of Namozine Church,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1865-04-03,United States,North America
Battle of North Anna,1.2422,1.8634,5.5901,2.4845,4.9689,1.2422,1.236,0.0,161,1864-05-26,United States,North America
Battle of Old Church,1.1494,2.2989,5.7471,2.2989,5.7471,2.2989,1.1092,0.0,87,1864-05-30,United States,North America
Third Battle of Winchester,5.2925,2.7855,8.9136,3.8997,3.6212,1.3928,1.7688,0.0,359,1864-09-19,United States,North America
First Battle of Petersburg,4.6053,5.9211,9.2105,9.2105,9.2105,4.6053,1.7237,0.1563,152,1864-06-09,United States,North America
Second Battle of Petersburg,1.7544,1.7544,8.7719,3.5088,8.7719,1.7544,1.9035,0.0,57,1864-06-15,United States,North America
Battle of Port Republic,3.125,6.25,3.125,6.25,0.0,3.125,0.0,0.0,32,1862-06-09,United States,North America
Second Battle of Ream's Station,1.4423,2.8846,6.25,3.3654,6.25,2.8846,1.5529,0.0,208,1864-08-25,United States,North America
Battle of Yellow Tavern,6.6038,7.5472,13.2075,6.6038,5.6604,2.8302,1.5708,1.5991,106,1864-05-11,United States,North America
Battle of Sailor's Creek,0.0,3.3333,0.0,3.3333,0.0,0.0,0.0,0.0,30,1865-04-06,United States,North America
Battle of Seven Pines,2.4155,0.9662,6.2802,0.9662,0.9662,0.0,1.337,0.0,207,1862-06-01,United States,North America
Battle of Thoroughfare Gap,1.1494,1.1494,5.7471,3.4483,5.7471,2.2989,1.1092,0.0,87,1862-08-28,United States,North America
"Battle of Waynesboro, Virginia",1.4925,5.9701,3.7313,8.209,2.2388,5.2239,0.6828,0.0,134,1865-03-02,United States,North America
Battle of White Oak Road,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,40,1865-03-31,United States,North America
Battle of Williamsburg,1.3699,2.7397,6.8493,2.7397,6.8493,2.7397,1.0616,0.0,73,1862-05-05,United States,North America
First Battle of Winchester,2.4096,3.6145,7.2289,3.6145,6.0241,3.6145,1.1627,0.0,83,1862-05-25,United States,North America
Battle of Camp Allegheny,1.2048,2.4096,6.0241,2.4096,6.0241,2.4096,1.1627,0.0,83,1861-12-13,United States,North America
Battle of Hoke's Run,1.2048,2.4096,10.8434,2.4096,8.4337,2.4096,2.262,0.0,83,1861-07-02,United States,North America
Battle of Philippi (West Virginia),1.7751,2.9586,5.9172,1.7751,4.7337,0.5917,0.8047,0.7411,169,1861-06-03,United States,North America
Battle of Rich Mountain,1.5152,3.0303,7.5758,3.0303,7.5758,3.0303,1.6439,0.0,66,1861-07-11,United States,North America
Battle of Shepherdstown,2.8846,4.8077,6.7308,4.8077,5.7692,6.7308,1.9663,0.0,104,1862-09-20,United States,North America
Battle of Abu Ghraib,3.1221,6.8871,6.7952,9.4582,2.9844,3.6731,1.7539,1.8812,2178,2005-04-02,,
Battle of Alam el Halfa,2.6157,2.6157,3.2193,4.829,2.2133,1.6097,0.7857,0.3224,497,1942-09-05,Egypt,Africa
Battle of Alcântara (1580),1.087,1.087,0.0,1.087,0.0,1.087,0.0842,0.5924,92,1580-08-25,,
Battle of Anzio,2.7904,3.7016,5.0683,5.0683,2.8474,1.7084,1.2651,0.4093,1756,1944-06-05,Italy,Europe
Battle of Augusta,0.0,4.2553,0.0,6.382999999999999,0.0,2.1277,1.8351,0.0,47,1676-04-22,,
Battle of Ahmed Khel,4.4643,3.5714,5.3571,8.9286,0.0,6.25,0.9018,0.0,112,1880-04-19,,
Battle of Azemmour,7.6923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,1513-08-29,,
Battle of Al Busayyah,6.0606,3.0303,9.0909,3.0303,6.0606,3.0303,0.0,0.0,33,1991-02-26,Iraq,Asia
Battle of Alamance,4.9689,2.795,8.3851,3.4161,3.7267,1.8634,1.4899,0.4557,322,1771-05-16,,
Battle of Badung Strait,1.2821,2.5641,6.4103,2.5641,6.4103,2.5641,1.2372,0.0,78,1942-02-20,,
Fall of Baghdad (1917),3.1008,2.7132,5.4264,3.4884,3.4884,2.7132,1.1773,0.2781,258,1917-03-11,,
Battle of Ambon,1.6529,3.3058,6.6116,3.3058,6.6116,2.4793,1.595,0.0,121,1942-02-03,,
Battle of Buxar,5.8824,2.521,9.4538,4.6218,5.8824,1.8908,0.9338,0.0987,476,1764-10-22,,
Battle of Ayacucho,1.0811,3.2432,2.9730000000000003,3.5135,2.7027,2.1622,0.573,0.1358,370,1824-12-09,Peru,South America
Battle of Atapuerca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1054-09-01,Spain,Europe
Battle of the Camel,4.4797,4.5353,7.5403,7.7629,4.7301,3.478,2.0961,0.5137,3594,0656-11-07,Iraq,Asia
Battle of Bataan,2.807,2.1053,5.2632,3.3333,3.6842,1.4035,0.7904,0.0689,570,1942-04-09,,
Red River Campaign,3.4653,1.9802,9.901,3.9604,5.9406,1.4851,1.3899,0.3713,202,1864-03-10,,
Battle of Abtao,1.6667,3.3333,8.3333,3.3333,8.3333,3.3333,1.6083,0.0,60,1866-02-07,Chile,South America
Battle of Assaye,3.8781,3.8781,4.1551,3.8781,2.2161,2.4931,0.5388,0.2396,361,1803-09-23,India,Asia
Battle of Bear Paw,1.2903,1.2903,4.1935,1.2903,4.5161,0.9677,0.8468,0.0,310,1877-10-05,,
Battle of Bir Hakeim,6.2126,4.3164,9.2814,7.1856,4.3164,4.1667,2.5793,0.5415,4008,1942-06-11,Libya,Africa
Battle of the Bismarck Sea,2.4858,4.1903,5.4687,5.6818,2.2017,2.6278,1.244,1.8327,1408,1943-03-04,,
Battle of Blackett Strait,3.2258,12.9032,6.4516,11.2903,3.2258,6.4516,3.2258,1.0121,62,1943-03-06,,
Battle of Blood River,3.5714,3.9541,5.9949,4.7194,3.3163,2.3597,1.2989,0.338,1568,1838-12-16,South Africa,Africa
Bougainville Campaign,2.9316,2.1173,5.2117,1.6287,3.7459,0.9772,0.7467,0.3762,614,1945-08-21,Papua New Guinea,Oceania
Battle of Reading (1688),0.8696,6.0870000000000015,7.8261,6.0870000000000015,6.0870000000000015,3.4783,1.1022,0.4739,115,1688-12-09,United Kingdom,Europe
Lvov–Sandomierz Offensive,2.4823,7.8014,3.1915,7.8014,2.4823,4.6099,0.7775,1.3014,282,1944-07-13,,
